idx,L,S,C,D,F_score,text
8759,1.0,0.8518474698066711,0.8918069010689145,0.0,0.9394698620977856,"<purg. 29.34> dinanzi a noi, tal quale un foco acceso,"
8446,1.0,0.8454211950302124,0.9099416903087071,0.0,0.9392410550798689,"<purg. 27.11> anime sante, il foco: intrate in esso,"
3701,1.0,0.8460058569908142,0.9068384187562125,0.0,0.9389711979457309,"<inf. 27.127> disse: ""Questi è d'i rei del foco furo"";"
1236,1.0,0.8526878356933594,0.8856808248020354,0.0,0.9387488663764226,"<inf. 10.22> ""O Tosco che per la città del foco"
8389,1.0,0.8467134237289429,0.9031167938595727,0.0,0.9386514130092802,"<purg. 26.102> né, per lo foco, in là più m'appressai."
12970,1.0,0.8471040725708008,0.8984307209650676,0.0,0.9379485877354939,<par. 25.37> Questo conforto del foco secondo
5446,1.0,0.8511013984680176,0.88631781964075,0.0,0.9379244030089605,<purg. 6.38> perché foco d'amor compia in un punto
3575,1.0,0.8442792296409607,0.9066116230828422,0.0,0.9378898624011449,<inf. 27.1> Già era dritta in sù la fiamma e queta
955,1.0,0.848099410533905,0.8929506551651728,0.0,0.9374497773533775,<inf. 8.4> per due fiammette che i vedemmo porre
14158,1.0,0.8484401702880859,0.8889611221495128,0.0,0.9368563266027542,<par. 33.71> ch'una favilla sol de la tua gloria
2037,1.0,0.8467864990234375,0.892261893408639,0.0,0.9365242780957903,<inf. 16.16> E se non fosse il foco che saetta
7907,1.0,0.8496863842010498,0.8832459154583159,0.0,0.9364610136122931,<purg. 23.46> Questa favilla tutta mi raccese
13807,1.0,0.8471637964248657,0.8895806976727076,0.0,0.936214417389461,"<par. 31.13> Le facce tutte avean di fiamma viva,"
8264,1.0,0.8420196771621704,0.9044072196597145,0.0,0.9360932502292452,<purg. 25.116> ad uno ad uno; e io temea 'l foco
12179,1.0,0.8464259505271912,0.8899307109060741,0.0,0.9358417124975296,"<par. 19.131> di quei che guarda l'isola del foco,"
13054,1.0,0.845456600189209,0.8914896408716838,0.0,0.9355718882878621,<par. 25.121> tal mi fec'io a quell'ultimo foco
12434,1.0,0.8484364748001099,0.881856278010777,0.0,0.9354331404822213,<par. 21.90> la chiarità de la fiamma pareggio.
2067,1.0,0.8443248271942139,0.8903102585247584,0.0,0.93465694802148,"<inf. 16.46> S'i' fossi stato dal foco coperto,"
9971,1.0,0.8453102707862854,0.8861749177887326,0.0,0.9344211460295178,"<par. 4.77> ma fa come natura face in foco,"
11645,1.0,0.8415497541427612,0.8967420464470273,0.0,0.9342782617750621,"<par. 16.29> carbone in fiamma, così vid'io quella"
12596,1.0,0.8433198928833008,0.8896180396988278,0.0,0.933915543669746,"<par. 22.110> nel foco il dito, in quant'io vidi 'l segno"
14206,1.0,0.8452094793319702,0.8838380433264232,0.0,0.9338932962644667,"<par. 33.119> parea reflesso, e 'l terzo parea foco"
12730,1.0,0.8417956829071045,0.8923127514975412,0.0,0.9335399600437708,<par. 23.90> l'animo ad avvisar lo maggior foco;
13400,1.0,0.8404676914215088,0.8960379821913583,0.0,0.9334882112911769,"<par. 28.38> cui men distava la favilla pura,"
11948,1.0,0.8399014472961426,0.8961754151753016,0.0,0.9331759514127458,"<par. 18.36> che fa in nube il suo foco veloce""."
9833,1.0,0.8427662253379822,0.8839919124330793,0.0,0.9324581176894051,<par. 3.69> ch'arder parea d'amor nel primo foco:
8969,1.0,0.8402060866355896,0.8909960695675441,0.0,0.9323228658948626,<purg. 30.90> sì che par foco fonder la candela;
4101,1.0,0.8425891995429993,0.8821700516201201,0.0,0.9319875300498236,"<inf. 30.110> al fuoco, non l'avei tu così presto;"
13399,1.0,0.8377280831336975,0.8952889902251108,0.0,0.9316946479252407,<par. 28.37> e quello avea la fiamma più sincera
12020,1.0,0.8391966819763184,0.8900822707584926,0.0,0.9315344633374896,<par. 18.108> rappresentare a quel distinto foco.
12311,1.0,0.8408938646316528,0.8847326346806117,0.0,0.931482845715114,<par. 20.115> e credendo s'accese in tanto foco
2462,1.0,0.8423008322715759,0.8800342979885283,0.0,0.9313873589606512,"<inf. 19.33> diss'io, ""e cui più roggia fiamma succia?""."
3470,1.0,0.8294126391410828,0.918078351020813,0.0,0.9312632536888122,"<inf. 26.38> ch'el vedesse altro che la fiamma sola,"
10034,1.0,0.8398648500442505,0.8861763483002072,0.0,0.9311541796865918,"<par. 4.140> di faville d'amor così divini,"
781,1.0,0.8359640836715698,0.8963412347294035,0.0,0.9308466971488226,"<inf. 6.75> le tre faville c'hanno i cuori accesi""."
10335,1.0,0.8329476714134216,0.9047824905032203,0.0,0.9307251009486971,"<par. 7.18> tal, che nel foco faria l'uom felice:"
5864,1.0,0.8369179368019104,0.8925605569566999,0.0,0.9306628734724862,<purg. 9.30> e me rapisse suso infino al foco.
960,1.0,0.8389134407043457,0.8835994016556513,0.0,0.9300679447537377,"<inf. 8.9> quell'altro foco? e chi son quei che 'l fenno?""."
10441,1.0,0.8321583867073059,0.9025958941096351,0.0,0.9298142108463106,"<par. 7.124> Tu dici: ""Io veggio l'acqua, io veggio il foco,"
13087,1.0,0.8343316316604614,0.893528626078651,0.0,0.9293047042120071,<par. 26.15> quand'ella entrò col foco ond'io sempr'ardo.
5772,1.0,0.8389941453933716,0.8777841482843671,0.0,0.9289533168928964,"<purg. 8.77> quanto in femmina foco d'amor dura,"
2708,1.0,0.8337438702583313,0.8905169668651762,0.0,0.928349715528034,"<inf. 21.16> tal, non per foco, ma per divin'arte,"
8481,1.0,0.8258287906646729,0.9113574198314122,0.0,0.9277687583650862,"<purg. 27.46> Poi dentro al foco innanzi mi si mise,"
1900,1.0,0.8294517993927002,0.8994526868774777,0.0,0.9275616170111156,<inf. 15.3> sì che dal foco salva l'acqua e li argini.
3962,1.0,0.8338043093681335,0.8825295868374052,0.0,0.9267885029883611,"<inf. 29.110> rispuose l'un, ""mi fé mettere al foco;"
13741,1.0,0.8298311233520508,0.8912542172840663,0.0,0.9261495174680437,"<par. 30.95> li fiori e le faville, sì ch'io vidi"
14041,1.0,0.8340712189674377,0.8760771456218901,0.0,0.9256581605048406,"<par. 32.105> innamorato sì che par di foco?""."
12799,1.0,0.8297173380851746,0.8863477871531532,0.0,0.9250999602817354,"<par. 24.20> vid'io uscire un foco sì felice,"
12926,0.5,0.8357892632484436,0.9061921999568031,0.0,0.8077119979404268,"<par. 24.147> e come stella in cielo in me scintilla""."
5865,0.5,0.8385674953460693,0.8852123175348554,0.0,0.8051829607146126,<purg. 9.31> Ivi parea che ella e io ardesse;
10382,1.0,0.8811270594596863,0.9173620507830665,1.0,0.662148645832425,"<par. 7.65> ogne livore, ardendo in sé, sfavilla"
11379,1.0,0.834394097328186,0.8837239606039865,1.0,0.627381250517709,"<par. 14.50> crescer l'ardor che di quella s'accende,"
12808,0.5,0.8594834804534912,0.9060708449000404,1.0,0.5219042572521029,"<par. 24.29> divota, per lo tuo ardente affetto"
12723,0.5,0.8540672659873962,0.8992133004324777,1.0,0.5172830196789333,"<par. 23.83> folgorate di sù da raggi ardenti,"
12210,0.5,0.8546162843704224,0.8951642819813319,1.0,0.5168026270185198,"<par. 20.14> quanto parevi ardente in que' flailli,"
1149,0.5,0.8541637659072876,0.8946297322000776,1.0,0.516424205984388,"<inf. 9.68> impetuoso per li avversi ardori,"
10885,0.5,0.8544135093688965,0.8925660553432646,1.0,0.5161613166899908,<par. 10.130> Vedi oltre fiammeggiar l'ardente spiro
12053,0.5,0.8491450548171997,0.8935013867559887,1.0,0.5131873102415176,"<par. 19.5> raggio di sole ardesse sì acceso,"
3529,0.5,0.8395857810974121,0.9217682361602784,1.0,0.5131051158905029,<inf. 26.97> vincer potero dentro a me l'ardore
12648,0.5,0.8462754487991333,0.8940983278410776,1.0,0.5115849348476955,"<par. 23.8> e con ardente affetto il sole aspetta,"
5785,0.5,0.8477064967155457,0.8868736777986799,1.0,0.5109986335890633,"<purg. 8.90> di che 'l polo di qua tutto quanto arde""."
6758,0.5,0.8486388325691223,0.8834565287544613,1.0,0.5108746052923656,"<purg. 15.57> e più di caritate arde in quel chiostro""."
11502,0.5,0.843085527420044,0.892553002493722,1.0,0.5093619169507708,<par. 15.34> ché dentro a li occhi suoi ardeva un riso
11511,0.5,0.8422229290008545,0.8917538234165736,1.0,0.5086845220838274,<par. 15.43> E quando l'arco de l'ardente affetto
12231,0.5,0.8402475714683533,0.8967368909290858,1.0,0.5084959210668292,"<par. 20.35> quelli onde l'occhio in testa mi scintilla,"
13936,0.5,0.8422789573669434,0.8882307120731898,1.0,0.5080135168348039,<par. 31.142> che ' miei di rimirar fé più ardenti.
12662,0.5,0.8406567573547363,0.8929973704474313,1.0,0.507993528502328,"<par. 23.22> Pariemi che 'l suo viso ardesse tutto,"
12358,0.5,0.8427989482879639,0.884985521861485,1.0,0.5076764733450754,<par. 21.14> che sotto 'l petto del Leone ardente
13811,0.5,0.8357735276222229,0.902697593825204,1.0,0.5070036353383744,<par. 31.17> porgevan de la pace e de l'ardore
13162,0.5,0.8427330255508423,0.8814537979307628,1.0,0.5069305749166579,<par. 26.90> un disio di parlare ond'io ardeva.
3345,0.5,0.8409346342086792,0.8837317080724807,1.0,0.5063071221397035,"<inf. 25.64> come procede innanzi da l'ardore,"
